"Project Name","Latitude","Longitude","Project Footprint (Acres)","Drainage Area (Acres)","Actual Storage Capacity (Acre-feet)","Cumulative Volume Addressed (Acre-feet)","Actual Completion Date","Project Type","Capital Costs ($)","Cumulative O&M Costs ($)"
"100 Harkness Lane",33.85488,-118.3803,NA,NA,NA,4.374066,"9/20/2022","Infiltration Well",52000,13000
"111 N Gerona",34.10316,-118.10082,0,0,0,0,"6/30/2024","LID Retrofit, Bioretention",1257,0
"1112 Beryl Street",33.8539,-118.382,NA,NA,NA,3.221391,"9/20/2022","Infiltration Well",52000,13000
"1132 Bilton Way",34.08704,-118.10059,0,0,0,0,"6/30/2024","LID Retrofit, Bioretention",1100,0
"1136 Bilton Way",34.086938,-118.100588,0,0,0,0,"6/30/2024","LID Retrofit, Bioretention",1300,0
"1144 Bilton Way",34.0864853,-118.1002969,0.002,0.28,0,0,"7/1/2022","LID Retrofit, Bioretention",0,0
"1145 S Palm Ave",34.086331,-118.098271,0.002,0.15,0,0,"7/1/2022","LID Retrofit, Bioretention",0,0
"1145 Walnut St",34.086339,-118.095956,0.002,0.15,0,0,"7/1/2022","LID Retrofit, Bioretention",0,0
"1200 Beryl Street _DW 1",33.854,-118.3816,NA,NA,NA,2.652113,"9/20/2022","Infiltration Well",52000,13000
"1200 Beryl Street _DW 2",33.854,-118.3815,NA,NA,NA,2.652113,"9/20/2022","Infiltration Well",52000,13000
"1212 Beryl Street",33.85458,-118.3804,NA,NA,NA,3.994715,"9/20/2022","Infiltration Well",52000,13000
"12200 Civic Center Drive Parking Lot Addition",33.913854,-118.07214,NA,NA,NA,0.591509,"1/2/2017","LID Retrofit, Biofiltration",1e+05,50000
"125 N Gerona",34.10358,-118.10083,0,0,0,0,"6/30/2024","LID Retrofit, Bioretention",1568,0
"128 N Gerona",34.10384,-118.1007,0,0,0,0,"6/30/2024","LID Retrofit, Bioretention",1849,0
"135 N San Gabriel Blvd",34.105177,-118.09172,0,0,0,0,"6/30/2024","LID Retrofit, Bioretention",2000,0
"137 W Orange Street",34.094008,-118.101307,0.001,0.1,0,0,"7/1/2022","LID Retrofit, Bioretention",0,0
"140 Hazell Way",34.086186,-118.100598,0.001,0.07,0,0,"7/1/2022","LID Retrofit, Bioretention",0,0
"140 N Pine Ave",34.10518,-118.09202,0,0,0,0,"6/30/2024","LID Retrofit, Bioretention",2000,0
"141 N Gerona",34.10428,-118.10082,0,0,0,0,"6/30/2024","LID Retrofit, Bioretention",1568,0
"1712 Huntington Ln",33.868,-118.382,NA,NA,NA,2.19913,"12/21/2022","Infiltration Well",52000,13000
"1813 Harriman Ln",33.867,-118.38,NA,NA,NA,2.312839,"12/21/2022","Infiltration Well",52000,13000
"1818 Speyer Lane_GS project",33.862392,-118.379491,NA,NA,NA,1.876198,"6/1/2020","Infiltration Well",40000,25500
"1915 Morgan Ln",33.862,-118.378,NA,NA,NA,2.312839,"12/21/2022","Infiltration Well",52000,13000
"2000 bk Gate_GS project",33.878443,-118.375025,NA,NA,NA,3.200238,"6/1/2020","Infiltration Well",40000,25500
"2008 Clark Lane_GS project",33.866067,-118.376087,NA,NA,NA,2.306143,"6/1/2020","Infiltration Well",40000,25500
"209 Orange St",34.094462,-118.102447,0.001,0.08,0,0,"7/1/2022","LID Retrofit, Bioretention",0,0
"2200 bk Plant_GS project",33.880892,-118.370152,NA,NA,NA,1.140268,"4/7/2021","Green Street, Bioretention",10000,30000
"2200 bk Slauson_GS project",33.869444,-118.370547,NA,NA,NA,0.580383,"4/7/2021","Green Street, Bioretention",22000,30000
"2218 Margaret Ct_GS project",33.860832,-118.370784,NA,NA,NA,2.478858,"6/1/2020","Infiltration Well",40000,25500
"225 W Angeleno Ave",34.095866,-118.102407,0,0,0,0,"6/30/2024","LID Retrofit, Bioretention",1200,0
"2300 bk Mackay Ln_GS project",33.87641983,-118.3684039,NA,NA,NA,1.318086,"4/7/2021","Green Street, Bioretention",17000,30000
"2421 Marshallfield Ln_GS project",33.865264,-118.366542,NA,NA,NA,2.502774,"6/1/2020","Infiltration Well",40000,25500
"2500 bk_ Santa Fe Street_GS project",33.889832,-118.366989,NA,NA,NA,5.377744,"2/1/2019","Infiltration Well",72000,30500
"2600 bk Beland_GS project",33.88268,-118.364596,NA,NA,NA,2.45721,"4/7/2021","Green Street, Bioretention",17000,30000
"2606 182nd Street",33.865462,-118.362333,NA,NA,NA,2.400609,"4/7/2021","Green Street, Bioretention",15000,30000
"2607 182nd Street",33.865611,-118.362366,NA,NA,NA,2.305193,"4/7/2021","Green Street, Bioretention",15000,30000
"3 City parking lots",34.1798,-118.30857,0.06,0.56,0,0,"5/31/2017","Other (specify)",0,1000
"301 W Orange St",34.094964,-118.10379,0.001,0.08,0,0,"7/1/2022","LID Retrofit, Bioretention",0,0
"339 E Saxon Ave",34.073028,-118.096056,0.002,0.1,0,0,"7/2/2021","LID Retrofit, Bioretention",6000,0
"3400 bk Rindge Ln_GS project",33.88613,-118.372754,NA,NA,NA,1.492453,"4/7/2021","Green Street, Bioretention",10000,30000
"3500 bk Rindge Ln_GS project",33.886839,-118.372802,NA,NA,NA,0.872447,"4/7/2021","Green Street, Bioretention",10000,30000
"3700 bk_Doolittle Drive_GS project",33.889522,-118.374395,NA,NA,NA,151.267208,"2/1/2019","Green Street, Bioretention",165000,36000
"400 N Rosemont",34.10787,-118.10701,0.01,0.18,0,0,"7/2/2021","LID Retrofit, Bioretention",8276.48,0
"416 Adelyn Dr",34.10804,-118.1049,0.003,0.15,0,0,"7/2/2021","LID Retrofit, Bioretention",5991.81,0
"419 Adelyn Dr",34.10818,-118.10506,0.004,0.15,0,0,"7/2/2021","LID Retrofit, Bioretention",7077.22,0
