date,ffk_rain_station,fld_rainfall_amount
2023-10-30,VTU,0
2023-10-30,STS,0
2023-10-30,SRU,0
2023-10-30,SNA,0
2023-10-30,SMX,0
2023-10-30,SFOC,0
2023-10-30,SBA,0
2023-10-30,SAN,0
2023-10-30,OXR,0
2023-10-30,NFG,0.01
2023-10-30,MQO,0
2023-10-30,LGB,0
2023-10-30,LAX,0
2023-10-30,EKA,0
2023-10-30,DEMX,0
2023-10-30,CEC,0
2023-10-30,CAPS,0
2023-10-30,CADR,0
2023-10-30,8Q3,0
2023-10-29,VTU,0
2023-10-29,STS,0
2023-10-29,SRU,0
2023-10-29,SNA,0
2023-10-29,SMX,0
2023-10-29,SFOC,0
2023-10-29,SBA,0
2023-10-29,SAN,0
2023-10-29,OXR,0
2023-10-29,NFG,0
2023-10-29,MQO,0
2023-10-29,LGB,0
2023-10-29,LAX,0
2023-10-29,EKA,0
2023-10-29,DEMX,0
2023-10-29,CEC,0
2023-10-29,CAPS,0
2023-10-29,CADR,0
2023-10-29,8Q3,0
2023-10-28,VTU,0
2023-10-28,STS,0
2023-10-28,SRU,0
2023-10-28,SNA,0
2023-10-28,SMX,0
2023-10-28,SFOC,0
2023-10-28,SBA,0
2023-10-28,SAN,0
2023-10-28,OXR,0
2023-10-28,NFG,0
2023-10-28,MQO,0
2023-10-28,LGB,0
2023-10-28,LAX,0
2023-10-28,EKA,0
2023-10-28,DEMX,0
2023-10-28,CEC,0
2023-10-28,CAPS,0
2023-10-28,CADR,0
2023-10-28,8Q3,0
2023-10-27,VTU,0
2023-10-27,STS,0
2023-10-27,SRU,0
2023-10-27,SNA,0
2023-10-27,SMX,0
2023-10-27,SFOC,0
2023-10-27,SBA,0
2023-10-27,SAN,0
2023-10-27,OXR,0
2023-10-27,NFG,0
2023-10-27,MQO,0
2023-10-27,LGB,0
2023-10-27,LAX,0
2023-10-27,EKA,0
2023-10-27,DEMX,0
2023-10-27,CEC,0
2023-10-27,CAPS,0
2023-10-27,CADR,0
2023-10-27,8Q3,0
2023-10-26,VTU,0
2023-10-26,STS,0
2023-10-26,SRU,0
2023-10-26,SNA,0
2023-10-26,SMX,0
2023-10-26,SFOC,0
2023-10-26,SBA,0
2023-10-26,SAN,0
2023-10-26,OXR,0
2023-10-26,NFG,0
2023-10-26,MQO,0
2023-10-26,LGB,0
2023-10-26,LAX,0
2023-10-26,EKA,0.23
2023-10-26,DEMX,0
2023-10-26,CEC,0.11
2023-10-26,CAPS,0
2023-10-26,CADR,0
2023-10-26,8Q3,0.24
2023-10-25,VTU,0
2023-10-25,STS,0.01
2023-10-25,SRU,0
2023-10-25,SNA,0
2023-10-25,SMX,0
2023-10-25,SFOC,0.01
2023-10-25,SBA,0
2023-10-25,SAN,0
2023-10-25,OXR,0
2023-10-25,NFG,0
2023-10-25,MQO,0
2023-10-25,LGB,0
2023-10-25,LAX,0
2023-10-25,EKA,0
2023-10-25,DEMX,0
2023-10-25,CEC,0.37
2023-10-25,CAPS,0.01
2023-10-25,CADR,0
2023-10-25,8Q3,0
2023-10-24,VTU,0
2023-10-24,STS,0
2023-10-24,SRU,0
2023-10-24,SNA,0
2023-10-24,SMX,0.01
2023-10-24,SFOC,0
2023-10-24,SBA,0
2023-10-24,SAN,0
2023-10-24,OXR,0
2023-10-24,NFG,0.01
2023-10-24,MQO,0
2023-10-24,LGB,0
2023-10-24,LAX,0
2023-10-24,EKA,0
2023-10-24,DEMX,0
2023-10-24,CEC,0
2023-10-24,CAPS,0
2023-10-24,CADR,0
2023-10-24,8Q3,0
2023-10-23,VTU,0
2023-10-23,STS,0.07
2023-10-23,SRU,0.07
2023-10-23,SNA,0
2023-10-23,SMX,0
2023-10-23,SFOC,0.03
2023-10-23,SBA,0
2023-10-23,SAN,0
2023-10-23,OXR,0
2023-10-23,NFG,0.01
2023-10-23,MQO,0
2023-10-23,LGB,0
2023-10-23,LAX,0
2023-10-23,EKA,0.55
2023-10-23,DEMX,0
2023-10-23,CEC,1.01
2023-10-23,CAPS,0
2023-10-23,CADR,0.09
2023-10-23,8Q3,0.4
2023-10-22,VTU,0
2023-10-22,STS,0.05
2023-10-22,SRU,0
2023-10-22,SNA,0
