OID_,Field1,id,name,latitude,longitude
1,1,GHCND:US1CALA0001,"GLENDALE 2.4 WSW, CA US",34.168900000000001,-118.294700000000006
2,4,GHCND:US1CALA0005,"ALTADENA 0.7 ESE, CA US",34.187426000000002,-118.124476999999999
3,6,GHCND:US1CALA0007,"WOODLAND HILLS 2.6 WNW, CA US",34.180539000000003,-118.649676999999997
4,7,GHCND:US1CALA0008,"MONTE NIDO 0.2 SSW, CA US",34.078600000000002,-118.686999999999998
5,8,GHCND:US1CALA0009,"SHERMAN OAKS 1.7 ENE, CA US",34.154266999999997,-118.419999000000004
6,11,GHCND:US1CALA0012,"WINNETKA 0.7 SSE, CA US",34.203288999999998,-118.567999999999998
7,12,GHCND:US1CALA0013,"SOUTH GATE 1.1 WNW, CA US",33.950549000000002,-118.208862999999994
8,15,GHCND:US1CALA0021,"ARCADIA 2.1 NNE, CA US",34.161741999999997,-118.028495000000007
9,18,GHCND:US1CALA0030,"LOS ANGELES 4.3 NNW, CA US",34.171242900000003,-118.435284999999993
10,20,GHCND:US1CALA0033,"BURBANK 1.1 ENE, CA US",34.198799999999999,-118.309299999999993
11,21,GHCND:US1CALA0034,"LA CRESCENTA MONTROSE 3.9 NW, CA US",34.269959999999998,-118.287374999999997
12,23,GHCND:US1CALA0036,"PASADENA 2.0 SE, CA US",34.139159999999997,-118.116110000000006
13,26,GHCND:US1CALA0041,"SAN FERNANDO 4.2 E, CA US",34.279339999999998,-118.363010000000003
14,27,GHCND:US1CALA0043,"PASADENA 1.8 E, CA US",34.161920000000002,-118.107335000000006
15,29,GHCND:US1CALA0046,"LA CRESCENTA MONTROSE 1.6 WNW, CA US",34.240634918212898,-118.261100769042997
16,33,GHCND:US1CALA0054,"CALABASAS 1.9 E, CA US",34.140574999999998,-118.628128000000004
17,37,GHCND:US1CALA0063,"ALTADENA 1.9 ESE, CA US",34.179094999999997,-118.104709999999997
18,46,GHCND:US1CALA0083,"LA CRESCENTA MONTROSE 0.3 NE, CA US",34.237060000000000,-118.231809999999996
19,47,GHCND:US1CALA0085,"SOUTH PASADENA 3.7 WSW, CA US",34.100017999999999,-118.219607999999994
20,49,GHCND:US1CALA0089,"SOUTH PASADENA 0.9 SSW, CA US",34.100378999999997,-118.165408999999997
21,50,GHCND:US1CALA0090,"GLENDALE 3.0 ESE, CA US",34.153430000000000,-118.209779999999995
22,51,GHCND:US1CALA0091,"PASADENA 0.8 ENE, CA US",34.164802000000002,-118.124916999999996
23,55,GHCND:US1CALA0104,"SAN FERNANDO 7.8 SW, CA US",34.197699999999998,-118.513800000000003
24,57,GHCND:US1CALA0108,"AGOURA HILLS 1.3 NNE, CA US",34.167445000000001,-118.749422999999993
25,58,GHCND:US1CALA0109,"ALTADENA 1.7 W, CA US",34.190496600000003,-118.164778499999997
26,60,GHCND:US1CALA0113,"HIDDEN HILLS 6.0 ENE, CA US",34.186219999999999,-118.557659999999998
27,65,GHCND:US1CALA0124,"PASADENA 1.9 S, CA US",34.133600000000001,-118.141599999999997
28,68,GHCND:US1CALA0132,"CHATSWORTH 0.7 SE, CA US",34.242179000000000,-118.607941999999994
29,70,GHCND:US1CALA0138,"AGOURA HILLS 1.2 NNE, CA US",34.165397220000003,-118.749311109999994
30,73,GHCND:USC00040080,"ALDER CREEK, CA US",34.350000000000001,-118.049999999999997
31,74,GHCND:USC00040115,"ALISO CANYON FC 446, CA US",34.316670000000002,-118.549999999999997
32,75,GHCND:USC00040144,"ALTADENA, CA US",34.182110000000002,-118.138270000000006
33,76,GHCND:USC00040327,"ARROYO SECO RANGER STATION FC508, CA US",34.216670000000001,-118.166669999999996
34,80,GHCND:USC00040625,"BELL CANYON PLATT RA, CA US",34.200000000000003,-118.650000000000006
35,83,GHCND:USC00040798,"BIG TUJUNGA DAM FC46, CA US",34.294809999999998,-118.188490000000002
36,84,GHCND:USC00040818,"BIRMINGHAM GEN HOSPITAL, CA US",34.183329999999998,-118.500000000000000
37,86,GHCND:USC00041192,"BURBANK FIRE DEPARTMENT FC226, CA US",34.183329999999998,-118.299999999999997
38,87,GHCND:USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",34.186599999999999,-118.347999999999999
39,89,GHCND:USC00041404,"OPIDS CAMP FC 57 B E, CA US",34.250000000000000,-118.099999999999994
40,91,GHCND:USC00041679,"CHATSWORTH HEYNEMANN, CA US",34.266669999999998,-118.599999999999994
41,92,GHCND:USC00041680,"CHATSWORTH FC 24 F, CA US",34.250000000000000,-118.599999999999994
42,93,GHCND:USC00041682,"CHATSWORTH RESERVOIR, CA US",34.226300000000002,-118.616900000000001
43,96,GHCND:USC00041896,"COLBYS FC 53D, CA US",34.299999999999997,-118.116669999999999
44,99,GHCND:USC00042198,"CRYSTAL LAKE FC238C, CA US",34.317500000000003,-117.841899999999995
45,100,GHCND:USC00042199,"CRYSTAL LAKE EAST PINE FLAT, CA US",34.333329999999997,-117.833330000000004
46,105,GHCND:USC00042643,"CRYSTAL LAKE EAST PINE FLAT, CA US",34.333329999999997,-117.833330000000004
47,111,GHCND:USC00043430,"GIRARD BRANT RANCH, CA US",34.166670000000003,-118.599999999999994
48,112,GHCND:USC00043450,"GLENDALE STAPENHORST, CA US",34.149999999999999,-118.266670000000005
49,115,GHCND:USC00043703,"HAINES CAN LWR FC 36, CA US",34.266669999999998,-118.266670000000005
50,116,GHCND:USC00043704,"HAINES CNYN UPR FC367, CA US",34.266669999999998,-118.250000000000000
51,117,GHCND:USC00043751,"HANSEN DAM, CA US",34.260800000000003,-118.386300000000006
52,118,GHCND:USC00044017,"HOEGEES FC 60 A, CA US",34.216670000000001,-118.033330000000007
53,120,GHCND:USC00044628,"LA CRESCENTA FC251C, CA US",34.222200000000001,-118.237700000000004
54,124,GHCND:USC00044986,"LITTLE TUJUNGA GLD C, CA US",34.316670000000002,-118.299999999999997
55,130,GHCND:USC00045111,"LOS ANGELES 6TH MAIN, CA US",34.049999999999997,-118.250000000000000
56,131,GHCND:USC00045112,"LOS ANGELES TERMINAL, CA US",34.066670000000002,-118.233329999999995
57,133,GHCND:USC00045781,"MONROVIA, CA US",34.149999999999999,-118.000000000000000
58,134,GHCND:USC00045790,"MONTEBELLO, CA US",34.019100000000002,-118.105199999999996
59,136,GHCND:USC00046006,"MOUNT WILSON CBS, CA US",34.230800000000002,-118.071100000000001
60,142,GHCND:USC00046256,"NORTH HOLLYWOOD, CA US",34.166670000000003,-118.383330000000001
61,143,GHCND:USC00046263,"NORTHRIDGE CAL STATE, CA US",34.244700000000002,-118.525000000000006
62,144,GHCND:USC00046465,"OPIDS CAMP FC 57 B E, CA US",34.250000000000000,-118.099999999999994
63,146,GHCND:USC00046602,"PACOIMA DAM FC33A E, CA US",34.329400000000000,-118.400499999999994
64,149,GHCND:USC00046719,"PASADENA, CA US",34.148299999999999,-118.144700000000000
65,158,GHCND:USC00047759,"SAN FERNANDO, CA US",34.283329999999999,-118.466669999999993
66,159,GHCND:USC00047762,"SAN FERNANDO PH 3, CA US",34.313299999999998,-118.492699999999999
67,160,GHCND:USC00047775,"SAN GABRIEL, CA US",34.100000000000001,-118.099999999999994
68,163,GHCND:USC00047785,"SAN GABRIEL FIRE DEPARTMENT, CA US",34.084200000000003,-118.100300000000004
69,165,GHCND:USC00047897,"SANTA ANITA FERN LOD, CA US",34.216670000000001,-118.016670000000005
70,170,GHCND:USC00048092,"SEPULVEDA DAM, CA US",34.166100000000000,-118.473600000000005
71,172,GHCND:USC00048210,"SIERRA MADRE HENSZEY, CA US",34.166670000000003,-118.049999999999997
72,173,GHCND:USC00048230,"SIGNAL HILL FC 415, CA US",33.796599999999998,-118.168300000000002
73,174,GHCND:USC00048290,"COLBYS FC 53D, CA US",34.299999999999997,-118.116669999999999
74,176,GHCND:USC00048660,"SUNLAND, CA US",34.266669999999998,-118.299999999999997
75,177,GHCND:USC00048662,"SUNLAND TUJUNGA, CA US",34.250000000000000,-118.283330000000007
76,180,GHCND:USC00049047,"TUJUNGA, CA US",34.266669999999998,-118.283330000000007
77,181,GHCND:USC00049049,"TUJUNGA MILL FC 470, CA US",34.383330000000001,-118.083330000000004
78,182,GHCND:USC00049050,"TUJUNGA MILL FC 470, CA US",34.383330000000001,-118.083330000000004
79,186,GHCND:USC00049260,"VAN NUYS FC15A, CA US",34.183329999999998,-118.450000000000003
80,190,GHCND:USC00049785,"WOODLAND HILLS PIERCE COLLEGE, CA US",34.181899999999999,-118.574399999999997
81,195,GHCND:USW00023130,"VAN NUYS AIRPORT, CA US",34.212139999999998,-118.491460000000004
82,196,GHCND:USW00023152,"BURBANK GLENDALE PASADENA AIRPORT, CA US",34.199660000000002,-118.365430000000003
83,205,GHCND:USW00093134,"LOS ANGELES DOWNTOWN, CA US",34.067799999999998,-118.241699999999994
