Project Name,Latitude,Longitude
111 N Gerona,34.10316,-118.10082
1132 Bilton Way,34.08704,-118.10059
1136 Bilton Way,34.086938,-118.100588
1144 Bilton Way,34.0864853,-118.1002969
1145 S Palm Ave,34.086331,-118.098271
1145 Walnut St,34.086339,-118.095956
125 N Gerona,34.10358,-118.10083
128 N Gerona,34.10384,-118.1007
135 N San Gabriel Blvd,34.105177,-118.09172
137 W Orange Street,34.094008,-118.101307
140 Hazell Way,34.086186,-118.100598
140 N Pine Ave,34.10518,-118.09202
141 N Gerona,34.10428,-118.10082
209 Orange St,34.094462,-118.102447
225 W Angeleno Ave,34.095866,-118.102407
3 City parking lots,34.1798,-118.30857
301 W Orange St,34.094964,-118.10379
339 E Saxon Ave,34.073028,-118.096056
400 N Rosemont,34.10787,-118.10701
416 Adelyn Dr,34.10804,-118.1049
419 Adelyn Dr,34.10818,-118.10506
422 E Saxon Ave,34.072782,-118.095013
505 Live Oak,34.10159,-118.09441
534 Montecito Drive,34.095221,-118.106527
541 Adelyn Dr,34.10763,-118.10812
601 E Fairview Ave,34.08991,-118.09329
701 E Fairview Ave,34.08997,-118.09206
701 San Salvatorre Pl,34.113526,-118.097111
8517 E Hermosa Dr,34.106266,-118.083227
930 Anderson Way,34.090375,-118.105043
Acacia Avenue Storm Drain Infiltration Project,34.1354972,-118.2443555
Agnes Ave Green Street,34.18676,-118.41172
Albion Riverside Park,34.06879,-118.22355
Altadena Home Retrofits and Parkway Basins Project,34.191118,-118.158473
Arroyo Boulevard (Rose Bowl Entry) Project,34.15783,-118.17224
Arroyo Seco LFD Hermon Dog Park AS-21,34.10442255,-118.2029094
Arroyo Seco LFD Sycamore Grove Park AS-15,34.10040967,-118.2029094
Avalon North Green Alley,33.993802,-118.271703
Avalon South Green Alley,33.995917,-118.265974
BWP Campus SUSMP infiltration,34.17794,-118.31672
Berkshire Creek Area Improvements Project,34.1939337,-118.1776534
Bradley Green Alley,34.18676,-118.41172
Broadway Neighborhood Stormwater Greenway,34.000055,-118.276019
Central Jefferson Green Alley Network,34.0109021,-118.2571779
City of Glendale Transit Center Bioretention BMP,34.12257,-118.257257
Clean CA Permeable Alley Pavement Installation Project,34.14681019,-118.2485586
Community Rain Garden Project (2: Sheldon Reservoir – Coniston Garden),34.148058,-118.129429
"Community Rain Garden Project (2: behind Behner Treatment plant, Sierra Madre",34.161511,-118.146121
Compton Creek Stormwater and Urban Runoff Capture Project at Earvin “Magic” Johnson Park,33.918951,-118.264248
Desiderio Neighborhood Park,34.143787,-118.164526
Distributed Drywells (East Glenoaks Blvd),34.152999,-118.20281
Distributed Drywells (East Palmer Avenue),34.132646,-118.23976
Distributed Drywells (San Fernando Road),34.155904,-118.276763
East Broadway Project,34.14683077,-118.2630035
East LA Sustainable Medians Stormwater Capture Project,34.013762,-118.134065
Echo Park Lake Rehabilitation,34.073308,-118.260012
Ed P. Reyes River Greenway,34.075737,-118.224271
El Centro Street Improvement Project,34.114824,-118.115754
Elmer Avenue Green Street Phase II,34.211076,-118.376872
Elmer Paseo Green Alley,34.209814,-118.376878
Fire Station 62,34.040999,-118.129234
Franklin D. Roosevelt Park Regional Stormwater Capture Project,33.969568,-118.241871
Garfield Reservoir Replacement,34.122058,-118.145189
Glenoaks-Filmore Green Street,34.27672,-118.414676
Glenoaks-Sunland Stormwater Capture,34.22999,-118.366534
Green Alley Master Plan (GAMP),0.0,0.0
Green Alley Project,34.20966,-118.210503
Green Street Standard Plans and Design Guidelines (GSSP&DG),0.0,0.0
Green Streets Master Plan (GSMP),0.0,0.0
Harvard St/Loiuse St -- Proposition 84 Green Street,34.144455,-118.252609
Improvements of Avenue 64 (SD 64),34.12711,-118.176471
Improvements of Avenue 64 (SD B),34.12737,-118.17614
Infiltration Trench Public Alley - Burbank Blvd/Griffith Park Dr,34.18209,-118.32664
"LA River LFD  (Palmetto, LFD#2, R2-J)",34.04040823,-118.23084
"LA River LFD (2nd St & Sante Fe LFD#1, R2-02)",34.04716272,-118.237144
"LA River LFD (Mission Rd, LFD#3, R2-G)",34.05335999,-118.2270232
Lankershim Blvd Green Street,34.169677,-118.379049
Laurel Canyon Blvd Green Street,34.250605,-118.423473
Manchester Greenway,33.959217,-118.281999
