project,previous_name,permittee,subwatershed,project_type,description,latitude,longitude,required_completion_date,actual_completion_date,capital_costs,cum_om_costs,funding_sources,project_footprint,drainage,projected_storage_capacity,actual_storage_24,actual_storage,cum_volume,WMG,Latitude,Longitude,cum_volume_raw,cum_volume_clean
100 Harkness Lane,Beryl Street Project,Redondo Beach,Santa Monica Bay,Infiltration Well,Green street,33.854880000000001,-118.38030000000001,44824,2022-09-20T00:00:00Z,52000,13000,"Safe, Clean Water",0.00 ac,13.60 ac,Not Applicable,1.07 ac-ft,0.01 ac-ft,4.374066,Beach Cities,33.85488,-118.3803,4.374066,4.374066
1112 Beryl Street,Beryl Street Project,Redondo Beach,Santa Monica Bay,Infiltration Well,Green street,33.853900000000003,-118.38200000000001,44824,2022-09-20T00:00:00Z,52000,13000,"Safe, Clean Water",0.00 ac,7.00 ac,Not Applicable,1.07 ac-ft,0.01 ac-ft,3.221391,Beach Cities,33.8539,-118.382,3.2213910000000001,3.2213910000000001
1200 Beryl Street _DW 1,Beryl Street Project,Redondo Beach,Santa Monica Bay,Infiltration Well,Green street,33.853999999999999,-118.38160000000001,44824,2022-09-20T00:00:00Z,52000,13000,"Safe, Clean Water",0.00 ac,5.00 ac,Not Applicable,1.07 ac-ft,0.01 ac-ft,2.652113,Beach Cities,33.854,-118.3816,2.6521129999999999,2.6521129999999999
1200 Beryl Street _DW 2,Beryl Street Project,Redondo Beach,Santa Monica Bay,Infiltration Well,Green street,33.853999999999999,-118.3815,44824,2022-09-20T00:00:00Z,52000,13000,"Safe, Clean Water",0.00 ac,5.00 ac,Not Applicable,1.07 ac-ft,0.01 ac-ft,2.652113,Beach Cities,33.854,-118.3815,2.6521129999999999,2.6521129999999999
1212 Beryl Street,Beryl Street Project,Redondo Beach,Santa Monica Bay,Infiltration Well,Green street,33.854579999999999,-118.38039999999999,44824,2022-09-20T00:00:00Z,52000,13000,"Safe, Clean Water",0.00 ac,10.90 ac,Not Applicable,1.07 ac-ft,0.01 ac-ft,3.994715,Beach Cities,33.85458,-118.3804,3.9947149999999998,3.9947149999999998
1712 Huntington Ln,2022 Residential Street Rehab,Redondo Beach,Santa Monica Bay,Infiltration Well,Green street,33.868000000000002,-118.38200000000001,44916,2022-12-21T00:00:00Z,52000,13000,"Safe, Clean Water",0.00 ac,4.35 ac,Not Applicable,1.07 ac-ft,0.01 ac-ft,2.19913,Beach Cities,33.868,-118.382,2.1991299999999998,2.1991299999999998
1813 Harriman Ln,2022 Residential Street Rehab,Redondo Beach,Santa Monica Bay,Infiltration Well,Green street,33.866999999999997,-118.38,44916,2022-12-21T00:00:00Z,52000,13000,"Safe, Clean Water",0.00 ac,4.70 ac,Not Applicable,1.07 ac-ft,0.01 ac-ft,2.312839,Beach Cities,33.867,-118.38,2.3128389999999999,2.3128389999999999
1818 Speyer Lane_GS project,Residential Street Rehab,Redondo Beach,Santa Monica Bay,Infiltration Well,Green street,33.862392,-118.379491,43983,2020-06-01T00:00:00Z,40000,25500,Municipal General Fund,0.00 ac,2.30 ac,Not Applicable,0.84 ac-ft,0.01 ac-ft,1.876198,Beach Cities,33.862392,-118.379491,1.876198,1.876198
1915 Morgan Ln,2022 Residential Street Rehab,Redondo Beach,Santa Monica Bay,Infiltration Well,Green street,33.862000000000002,-118.378,44916,2022-12-21T00:00:00Z,52000,13000,"Safe, Clean Water",0.00 ac,4.70 ac,Not Applicable,1.07 ac-ft,0.01 ac-ft,2.312839,Beach Cities,33.862,-118.378,2.3128389999999999,2.3128389999999999
2000 bk Gate_GS project,Residential Street Rehab,Redondo Beach,Dominguez Channel,Infiltration Well,Green street,33.878442999999997,-118.37502499999999,43983,2020-06-01T00:00:00Z,40000,25500,Municipal General Fund,0.00 ac,9.00 ac,Not Applicable,0.84 ac-ft,0.01 ac-ft,3.200238,Beach Cities,33.878443,-118.375025,3.2002380000000001,3.2002380000000001
